in s,C1 in V
-2.976154E-03,-4.98047E-02
-2.976108E-03,-4.98047E-02
-2.976062E-03,-4.98047E-02
-2.976016E-03,2.43164E-01
-2.975970E-03,9.66797E-02
-2.975924E-03,4.78516E-02
-2.975878E-03,-9.76562E-04
-2.975832E-03,-4.98047E-02
-2.975786E-03,-9.76562E-04
-2.975740E-03,9.66797E-02
-2.975694E-03,1.94336E-01
-2.975648E-03,4.78516E-02
-2.975602E-03,9.66797E-02
-2.975556E-03,-9.76562E-04
-2.975510E-03,4.78516E-02
-2.975464E-03,1.45508E-01
-2.975418E-03,9.66797E-02
-2.975372E-03,4.78516E-02
-2.975326E-03,-9.76562E-04
-2.975280E-03,9.66797E-02
-2.975234E-03,9.66797E-02
-2.975188E-03,1.94336E-01
-2.975142E-03,4.78516E-02
-2.975096E-03,-9.86328E-02
-2.975050E-03,9.66797E-02
-2.975004E-03,9.66797E-02
-2.974958E-03,9.66797E-02
-2.974912E-03,-9.76562E-04
-2.974866E-03,-4.98047E-02
-2.974820E-03,4.78516E-02
-2.974774E-03,4.78516E-02
-2.974728E-03,-4.98047E-02
-2.974682E-03,4.78516E-02
-2.974636E-03,-4.98047E-02
-2.974590E-03,4.78516E-02
-2.974544E-03,-4.98047E-02
-2.974498E-03,9.66797E-02
-2.974452E-03,1.45508E-01
-2.974406E-03,9.66797E-02
-2.974360E-03,9.66797E-02
-2.974314E-03,1.45508E-01
-2.974268E-03,1.45508E-01
-2.974222E-03,4.78516E-02
-2.974176E-03,9.66797E-02
-2.974130E-03,4.78516E-02
-2.974084E-03,4.78516E-02
-2.974038E-03,2.43164E-01
-2.973992E-03,4.78516E-02
-2.973946E-03,-9.86328E-02
-2.973900E-03,9.66797E-02
-2.973854E-03,4.78516E-02
-2.973808E-03,1.94336E-01
-2.973762E-03,9.66797E-02
-2.973716E-03,9.66797E-02
-2.973670E-03,4.78516E-02
-2.973624E-03,9.66797E-02
-2.973578E-03,9.66797E-02
-2.973532E-03,9.66797E-02
-2.973486E-03,9.66797E-02
-2.973440E-03,-4.98047E-02
-2.973394E-03,9.66797E-02
-2.973348E-03,-4.98047E-02
-2.973302E-03,-9.76562E-04
-2.973256E-03,-9.76562E-04
-2.973210E-03,-9.76562E-04
-2.973164E-03,-9.76562E-04
-2.973118E-03,9.66797E-02
-2.973072E-03,1.45508E-01
-2.973026E-03,1.94336E-01
-2.972980E-03,9.66797E-02
-2.972934E-03,4.78516E-02
-2.972888E-03,9.66797E-02
-2.972842E-03,9.66797E-02
-2.972796E-03,-4.98047E-02
-2.972750E-03,4.78516E-02
